ac_no,ac_name,candidate,party,total_votes,source
32,Karandighi,BISHWAJIT SINHA,OTHER,271.0,ECI
32,Karandighi,SANTHAPAN HASDAK,OTHER,231.0,ECI
32,Karandighi,SHANTILAL SINGHA,OTHER,207.0,ECI
33,Hemtabad,SATYAJIT BARMAN,TMC,116425.0,ECI
33,Hemtabad,CHANDIMA ROY,BJP,89210.0,ECI
33,Hemtabad,BHUPEN BARMAN,CPM,9453.0,ECI
33,Hemtabad,NOTA,OTHER,2160.0,ECI
33,Hemtabad,MANINDRA BARMAN,OTHER,1581.0,ECI
33,Hemtabad,JYOTIRMAY BARMAN,OTHER,1518.0,ECI
33,Hemtabad,BINAY KUMAR ROY,OTHER,1411.0,ECI
33,Hemtabad,SANKAR BARMAN,OTHER,842.0,ECI
33,Hemtabad,DIPU BARMAN,OTHER,701.0,ECI
34,Kaliaganj,SOUMEN ROY,BJP,116768.0,ECI
34,Kaliaganj,TAPAN DEB SINGHA,TMC,94948.0,ECI
34,Kaliaganj,PRAVASH SARKAR,INC,16770.0,ECI
34,Kaliaganj,SUDHIR SARKAR,OTHER,4004.0,ECI
34,Kaliaganj,NOTA,OTHER,3007.0,ECI
34,Kaliaganj,GOPAL CHUNARY,OTHER,1073.0,ECI
34,Kaliaganj,SURESH BARMAN,OTHER,1028.0,ECI
34,Kaliaganj,SHYAMA SARKAR,OTHER,781.0,ECI
34,Kaliaganj,Dilip Chandra Ray,OTHER,552.0,ECI
34,Kaliaganj,ALEN SARKAR,OTHER,408.0,ECI
34,Kaliaganj,NAMALA KANTA SARKAR,OTHER,387.0,ECI
35,Raiganj,KRISHNA KALYANI,BJP,79775.0,ECI
35,Raiganj,AGARWAL KANAIA LAL,TMC,59027.0,ECI
35,Raiganj,MOHIT SENGUPTA,INC,17198.0,ECI
35,Raiganj,NOTA,OTHER,2468.0,ECI
35,Raiganj,RAJU PAUL,OTHER,1361.0,ECI
35,Raiganj,MINAKSHI ROY,OTHER,465.0,ECI
35,Raiganj,DIPENDU SARKAR,OTHER,211.0,ECI
35,Raiganj,GOUTAM BISWAS,OTHER,208.0,ECI
35,Raiganj,MANJU DAS (MANDAL),OTHER,196.0,ECI
35,Raiganj,BAHAMONI HANSDA,OTHER,133.0,ECI
35,Raiganj,SANATAN MAJUMDAR,OTHER,133.0,ECI
35,Raiganj,JYOTI BARMAN,OTHER,99.0,ECI
35,Raiganj,BHABATOSH LAHIRI,OTHER,73.0,ECI
36,Itahar,MOSARAF HUSSEN,TMC,114645.0,ECI
36,Itahar,AMIT KUMAR KUNDU,BJP,70670.0,ECI
36,Itahar,SRIKUMAR MUKHERJEE,OTHER,4908.0,ECI
36,Itahar,NOTA,OTHER,1240.0,ECI
36,Itahar,MOJAMMEL HAQUE,OTHER,1024.0,ECI
36,Itahar,MOFAKKERUL ISLAM,OTHER,831.0,ECI
36,Itahar,FIROJ ALAM,OTHER,346.0,ECI
